0	11972.json	true	Building a wall on the U.S.-Mexico border will take literally years.	immigration	rick-perry	Governor	Texas	republican	30	30	42	23	18	Radio interview	Meantime, engineering experts agree the wall would most likely take years to complete. Keep in mind, too, it took more than six years to build roughly 700 miles of fence and barriers along the roughly 2,000-mile U. S. -Mexico border.
1	11685.json	false	Wisconsin is on pace to double the number of layoffs this year.	jobs	katrina-shankland	State representative	Wisconsin	democrat	2	1	0	0	0	a news conference	She cited layoff notices received by the state. But those arent actual layoffs. In the time frame she cited the states added about 30,300 jobs.
2	11096.json	false	Says John McCain has done nothing to help the vets.	military,veterans,voting-record	donald-trump	President-Elect	New York	republican	63	114	51	37	61	comments on ABC's This Week.	"Trump said that McCain ""has done nothing to help the vets. ""While many veterans groups have had their differences with McCain over the years over specific legislation and his general approach to veterans issues, thats not the same as saying hes done ""nothing"" for veterans. In fact, just within the past two years, McCain has sponsored and helped enact several major provisions to help veterans. He also devotes a significant portion of his office staff to offer veterans on casework."
3	5209.json	half-true	Suzanne Bonamici supports a plan that will cut choice for Medicare Advantage seniors.	medicare,message-machine-2012,campaign-advertising	rob-cornilles	consultant	Oregon	republican	1	1	3	1	1	a radio show	But spending still goes up. In addition, many outside factors can affect the cost and range of benefits, making it impossible to know how Medicare Advantage might change. While the statement from Cornilles is partially accurate, it is taken out of context and ignores important details on a politically volatile subject.
4	9524.json	pants-fire	When asked by a reporter whether hes at the center of a criminal scheme to violate campaign laws, Gov. Scott Walker nodded yes.	campaign-finance,legal-issues,campaign-advertising	state-democratic-party-wisconsin		Wisconsin	democrat	5	7	2	2	7	a web video	"Our rating A Democratic Party web video making the rounds on social media shows a grim-faced Gov. Scott Walker appearing to bob his head yes to a reporters question about whether he was at the center of a ""criminal scheme"" to evade campaign finance laws. In real life, the governor answered an emphatic ""no"" -- not surprising given hes been denying any wrongdoing since new documents were released in the John Doe investigation."
5	5962.json	true	Over the past five years the federal government has paid out $601 million in retirement and disability benefits to deceased former federal employees.	federal-budget,pensions,retirement	brendan-doherty		Rhode Island	republican	1	2	1	1	0	a campaign website	"Rhode Islands former top cop is setting his bar of expectation pretty high if hes promising to curb this kind of ""rampant fraud and waste. ""Get updates from PolitiFactRI on Twitter."
6	7070.json	true	Says that Tennessee law requires that schools receive half of proceeds -- $31 million per year -- from a half-cent increase in the Shelby County sales tax.	county-budget,county-government,education,taxes	stand-children-tennessee	Child and education advocacy organization.	Tennessee	none	0	0	0	0	0	in a post on Facebook.	Residents in those suburbs do not get a vote because they already have authorized sales tax increases for their towns. Another argument by proponents is that a vote against the half-cent sales tax increase is essentially a vote for a property-tax increase to fund the expected budget gap created because of schools consolidation. Our ruling    There is clearly much for voters to consider on the referendum to increase by a half-cent the county's sales tax rate, and the contentiousness related to the Shelby County's reorganization of public schools has created some confusion for voters.
7	1046.json	barely-true	"Says Vice President Joe Biden ""admits that the American people are being scammed"" with the economic stimulus package."	economy,stimulus	john-boehner	Speaker of the House of Representatives	Ohio	republican	13	22	11	4	2	a press release.	"Boehner may be technically correct that Biden mentioned people being scammed in the roundtable meeting. But Boehner incorrectly suggests the vice president called the stimulus a scam and he fails to note that Biden promised ""to expose abuses whenever they were detected,"" as the AP reported."
8	12849.json	true	Donald Trump is against marriage equality. He wants to go back.	gays-and-lesbians,marriage	sean-patrick-maloney	Congressman for NY-18	New York	democrat	0	0	0	0	0	a speech at the Democratic National Convention	"Speaking at the Democratic National Convention, Maloney said Trump is ""against marriage equality"" and ""wants to go back"" on the Supreme Courts same-sex marriage decision. Trump has consistently opposed same-sex marriage in interviews since 2000. He also said he would consider appointing justices to the Supreme Court who would favor reversing the decision and leave the issue of same-sex marriage to the states."
9	13270.json	barely-true	We know that more than half of Hillary Clintons meetings while she was secretary of state were given to major contributors to the Clinton Foundation.	foreign-policy	mike-pence	Governor	Indiana	republican	8	10	12	5	0	"comments on ""Meet the Press"""	"Pence said, ""We know that more than half of Hillary Clinton's meetings while she was secretary of state were given to major contributors of the Clinton Foundation. ""Pence inaccurately described an Associated Press report. The report found that of 154 meetings Clinton took with private individuals over about half of her time as secretary of state, 85 were with people who had donated to the foundation. But the analysis leaves out thousands of meetings Clinton took, including every time she met with employees of both U. S.  and foreign governments. It also only covers part of her time as secretary of state."
